Make,AccidentArea,Sex,MaritalStatus,Age,Fault,VehicleCategory,VehiclePrice,Deductible,DriverRating,Days:Policy-Accident,Days:Policy-Claim,PastNumberOfClaims,AgeOfVehicle,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange-Claim,NumberOfCars,BasePolicy,daysDiff,FraudFound
Honda,Urban,Female,Single,21,Policy Holder,Sport,"more than 69,000",300,1,more than 30,more than 30,none,less than 4 years,No,No,External,none,0 to 3 years,more than 1,Liability,0,No
Honda,Urban,Male,Single,34,Policy Holder,Sport,"more than 69,000",400,4,more than 30,more than 30,none,4 to 6 years,Yes,No,External,none,no change,1 vehicle,Collision,5,No
Honda,Urban,Male,Married,47,Policy Holder,Sport,"more than 69,000",400,3,more than 30,more than 30,1,4 to 6 years,No,No,External,none,no change,1 vehicle,Collision,13,No
Honda,Rural,Male,Married,65,Third Party,Sport,"20,000 to 39,000",400,2,more than 30,more than 30,1,more than 7,Yes,No,External,more than 5,no change,1 vehicle,Liability,20,No
Honda,Urban,Female,Single,27,Third Party,Sport,"more than 69,000",400,1,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,Collision,15,No
Honda,Urban,Male,Single,20,Third Party,Sport,"more than 69,000",400,3,more than 30,more than 30,none,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,Collision,12,No
Honda,Urban,Male,Married,36,Third Party,Sport,"more than 69,000",400,1,more than 30,more than 30,1,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,Collision,9,No
Honda,Urban,Male,Single,17,Policy Holder,Sport,"more than 69,000",400,4,more than 30,more than 30,1,less than 4 years,No,No,External,none,no change,1 vehicle,Collision,137,No
Honda,Urban,Male,Single,30,Policy Holder,Sport,"more than 69,000",400,4,more than 30,more than 30,none,4 to 6 years,No,Yes,External,3 to 5,no change,1 vehicle,Collision,4,No
Ford,Urban,Male,Married,42,Policy Holder,Utility,"more than 69,000",400,1,more than 30,more than 30,2 to 4,more than 7,No,No,External,3 to 5,no change,1 vehicle,All Perils,1,No
Honda,Urban,Male,Single,71,Policy Holder,Sedan,"more than 69,000",400,3,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,All Perils,3,No
Honda,Urban,Male,Married,52,Policy Holder,Sport,"20,000 to 39,000",400,1,more than 30,more than 30,2 to 4,more than 7,No,No,External,none,no change,1 vehicle,Liability,0,No
Ford,Urban,Male,Married,28,Policy Holder,Sport,"more than 69,000",400,1,more than 30,more than 30,1,4 to 6 years,No,No,External,none,no change,1 vehicle,Liability,0,No
Honda,Rural,Male,Single,17,Third Party,Sedan,"more than 69,000",400,3,more than 30,more than 30,none,less than 4 years,No,No,External,none,no change,1 vehicle,Collision,5,No
Ford,Urban,Male,Married,61,Policy Holder,Sport,"more than 69,000",400,1,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,Liability,10,No
Ford,Urban,Male,Single,38,Policy Holder,Sport,"more than 69,000",400,1,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,Liability,6,No
Ford,Urban,Male,Married,41,Policy Holder,Sedan,"more than 69,000",400,4,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,6,No
Ford,Urban,Female,Married,28,Third Party,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,none,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,Collision,3,No
Mercury,Urban,Male,Single,32,Policy Holder,Sport,"20,000 to 39,000",400,1,more than 30,more than 30,1,4 to 6 years,No,No,External,none,no change,1 vehicle,Liability,4,No
Honda,Urban,Male,Married,30,Third Party,Sport,"more than 69,000",400,2,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Liability,8,No
Honda,Urban,Male,Married,40,Policy Holder,Sport,"20,000 to 39,000",400,1,more than 30,more than 30,1,more than 7,No,No,External,more than 5,no change,1 vehicle,Liability,18,No
Ford,Urban,Male,Married,47,Policy Holder,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,1,more than 7,No,No,External,none,4 to 8 years,more than 1,Collision,0,No
Honda,Urban,Male,Married,63,Policy Holder,Sport,"20,000 to 39,000",400,3,more than 30,more than 30,1,more than 7,No,No,External,1 to 2,no change,1 vehicle,Liability,11,No
Mercury,Urban,Male,Single,31,Third Party,Sport,"20,000 to 39,000",400,3,more than 30,more than 30,none,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,Liability,0,No
Honda,Urban,Male,Married,45,Policy Holder,Sedan,"more than 69,000",400,3,more than 30,more than 30,more than 4,more than 7,Yes,No,External,none,no change,1 vehicle,All Perils,0,No
Mercury,Urban,Male,Married,60,Policy Holder,Sport,"20,000 to 39,000",400,4,more than 30,more than 30,more than 4,more than 7,No,No,External,none,no change,1 vehicle,Liability,15,No
Honda,Urban,Male,Married,21,Policy Holder,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,more than 4,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Collision,98,No
Honda,Urban,Male,Married,42,Policy Holder,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,All Perils,5,No
Honda,Urban,Male,Single,17,Policy Holder,Sedan,"more than 69,000",400,1,more than 30,more than 30,none,less than 4 years,No,No,External,none,no change,1 vehicle,All Perils,80,Yes
Honda,Urban,Female,Married,39,Policy Holder,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,Collision,9,No
Ford,Urban,Male,Married,47,Policy Holder,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,2 to 4,more than 7,No,No,Internal,none,no change,1 vehicle,Collision,1,No
Honda,Urban,Male,Single,17,Policy Holder,Sedan,"more than 69,000",400,1,more than 30,more than 30,1,less than 4 years,No,No,External,none,no change,1 vehicle,Collision,2,No
Ford,Urban,Male,Single,42,Policy Holder,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,more than 4,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,Collision,0,No
Honda,Urban,Male,Single,30,Third Party,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,none,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,Collision,1,No
Ford,Urban,Male,Married,42,Policy Holder,Utility,"more than 69,000",400,1,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,1,No
Ford,Urban,Male,Single,34,Third Party,Sport,"20,000 to 39,000",400,3,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Liability,1,No
Honda,Urban,Male,Married,30,Third Party,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,none,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Collision,9,No
Honda,Urban,Male,Single,27,Policy Holder,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,none,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Collision,7,No
Honda,Urban,Male,Married,55,Policy Holder,Sport,"more than 69,000",400,1,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,Collision,2,No
Honda,Urban,Male,Married,35,Policy Holder,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,none,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,Collision,33,No
Ford,Urban,Female,Married,35,Policy Holder,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Collision,7,No
Mercury,Urban,Male,Married,44,Policy Holder,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,3 to 5,no change,more than 1,All Perils,5,No
Honda,Urban,Female,Single,42,Policy Holder,Sport,"20,000 to 39,000",400,4,more than 30,more than 30,none,less than 4 years,No,No,External,none,4 to 8 years,more than 1,Liability,0,No
Honda,Urban,Male,Married,41,Policy Holder,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,Collision,6,No
Honda,Urban,Male,Married,72,Third Party,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,Collision,7,No
Mercury,Urban,Female,Married,29,Third Party,Sedan,"less than 20,000",400,3,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,1,No
Mercury,Urban,Male,Single,32,Third Party,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,none,4 to 6 years,No,No,Internal,none,no change,1 vehicle,Collision,4,No
Honda,Urban,Male,Married,37,Policy Holder,Sport,"20,000 to 39,000",400,3,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Liability,1,No
Ford,Urban,Female,Married,37,Policy Holder,Sport,"more than 69,000",400,1,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,Liability,14,No
Mercury,Urban,Male,Married,59,Policy Holder,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,more than 4,more than 7,No,No,External,3 to 5,no change,1 vehicle,Collision,0,No
Mercury,Urban,Male,Married,49,Policy Holder,Sport,"20,000 to 39,000",400,2,more than 30,more than 30,more than 4,more than 7,No,No,External,none,no change,1 vehicle,Liability,0,No
Mercury,Urban,Male,Married,27,Policy Holder,Sport,"20,000 to 39,000",500,3,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,3 to 5,0 to 3 years,1 vehicle,Liability,2,No
Honda,Rural,Male,Married,21,Policy Holder,Sport,"more than 69,000",400,4,more than 30,more than 30,none,less than 4 years,No,No,External,3 to 5,no change,1 vehicle,Collision,185,Yes
Honda,Urban,Male,Married,50,Policy Holder,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,none,more than 7,No,No,External,3 to 5,no change,1 vehicle,Collision,18,Yes
Mercury,Urban,Male,Single,45,Policy Holder,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,1,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,Collision,0,No
Honda,Urban,Male,Married,49,Third Party,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,none,more than 7,No,No,External,3 to 5,no change,1 vehicle,All Perils,2,No
Honda,Urban,Male,Single,30,Policy Holder,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,6,No
Honda,Urban,Male,Single,37,Policy Holder,Sedan,"more than 69,000",400,3,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,none,no change,1 vehicle,Collision,0,No
Honda,Rural,Male,Single,17,Policy Holder,Sport,"more than 69,000",400,4,more than 30,more than 30,none,less than 4 years,No,No,External,none,no change,1 vehicle,Liability,23,No
Ford,Urban,Female,Single,27,Policy Holder,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,none,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,Collision,5,No
Honda,Urban,Male,Single,30,Policy Holder,Sedan,"20,000 to 39,000",400,4,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,14,No
Mercury,Urban,Male,Married,49,Policy Holder,Utility,"40,000 to 69,000",400,4,more than 30,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,Collision,136,No
Honda,Urban,Male,Single,17,Third Party,Sedan,"more than 69,000",400,2,more than 30,more than 30,2 to 4,less than 4 years,No,No,External,none,no change,1 vehicle,All Perils,47,No
Honda,Urban,Male,Married,26,Policy Holder,Sport,"20,000 to 39,000",400,3,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,more than 5,4 to 8 years,more than 1,Liability,1,No
Mercury,Urban,Male,Single,48,Policy Holder,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,Collision,4,No
Honda,Urban,Male,Single,31,Policy Holder,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,none,4 to 6 years,No,No,External,none,no change,1 vehicle,All Perils,10,No
Mercury,Urban,Male,Single,40,Third Party,Sedan,"more than 69,000",400,2,more than 30,more than 30,1,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Collision,0,No
Honda,Urban,Male,Married,65,Policy Holder,Sport,"20,000 to 39,000",400,1,more than 30,more than 30,2 to 4,more than 7,No,No,External,more than 5,no change,1 vehicle,Liability,4,No
Honda,Urban,Male,Married,64,Policy Holder,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,1,more than 7,No,No,External,none,no change,1 vehicle,Collision,0,No
Honda,Urban,Male,Married,55,Policy Holder,Sport,"20,000 to 39,000",400,2,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,more than 5,no change,1 vehicle,Liability,0,No
Honda,Urban,Male,Single,44,Policy Holder,Sedan,"20,000 to 39,000",400,1,more than 30,more than 30,2 to 4,4 to 6 years,No,No,External,3 to 5,no change,1 vehicle,Collision,0,No
Honda,Urban,Male,Married,27,Policy Holder,Sedan,"20,000 to 39,000",400,3,more than 30,more than 30,1,4 to 6 years,No,No,External,1 to 2,no change,1 vehicle,Collision,2,No
Ford,Urban,Female,Single,28,Third Party,Sedan,"20,000 to 39,000",400,3,15 to 30,more than 30,1,4 to 6 years,No,No,External,none,no change,1 vehicle,Collision,123,No
Honda,Urban,Male,Married,47,Third Party,Sedan,"20,000 to 39,000",400,2,more than 30,more than 30,1,more than 7,No,No,External,more than 5,no change,1 vehicle,Collision,1,No
